"","Old.Data.Names","New.Data.Names","State","Consensus","Formula","KEGG.IDs","definitiveNames","KyuRheeNames"
"1","1-Aminocyclopropane-1-carboxylate","1-Aminocyclopropane-1-carboxylate","Same","1-Aminocyclopropane-1-carboxylate","C4H7NO2","C01234","1-Aminocyclopropane-1-carboxylate","Aminocyclopropane carboxylate"
"2","2-Amino-6-oxopimelate","2-Amino-6-oxopimelate","Same","2-Amino-6-oxopimelate","C7H11NO5","C03871","L-2-Amino-6-oxoheptanedioate","Amino-oxoheptanedioate"
"3","2-Aminoacrylate","2-Aminoacrylate","Same","2-Aminoacrylate","C3H5NO2","C02218","Dehydroalanine","Dehydroalanine"
"4","2-aminoadipate-6-semialdehyde","2-aminoadipate-6-semialdehyde","Same","2-aminoadipate-6-semialdehyde","C6H11NO3","C04076","L-2-Aminoadipate 6-semialdehyde","Aminoadipate semialdehyde"
"5","2,6-Diaminoheptanedioate 1","2,6-Diaminoheptanedioate 1","Same","2,6-Diaminoheptanedioate 1_?","C7H14N2O4","C00666","LL-2,6-Diaminoheptanedioate",NA
"6","3-Amino-isobutanoate 1","3-Amino-isobutanoate 1","Same","3-Amino-isobutanoate 1_?","C4H9NO2","C03284*","L-3-Aminoisobutanoate (repeated)","Aminoisobutanoate (1)"
"7","5-Methylthioadenosine","5-Methylthioadenosine","Same","5-Methylthioadenosine","C11H15N5O3S","C00170","5'-Methylthioadenosine","Methylthioadenosine"
"8","Acetylhomoserine 2","Acetylhomoserine 2","Same","Acetylhomoserine 2","C6H11NO4","C01077","O-Acetyl-L-homoserine","Acetylhomoserine"
"9","Acetylmuramate","Acetylmuramate","Same","Acetylmuramate","C11H19NO8","C02713","N-Acetylmuramate","Acetylmuramate"
"10","Acetylornithine","Acetylornithine","Same","Acetylornithine","C7H14N2O3","C00437","N-Acetylornithine","Acetylornithine"
"11","Adenine","Adenine","Same","Adenine","C5H5N5","C00147","Adenine","Adenine"
"12","AICAR","AICAR","Same","AICAR","C9H15N4O8P","C04677","AICAR","AICAR"
"13","alpha-Aminopropiononitrile","alpha-Aminopropiononitrile","Same","alpha-Aminopropiononitrile","C3H6N2","C05714","alpha-Aminopropiononitrile","Aminopropiononitrile"
"14","Anthranilate 1","Anthranilate 1","Same","Anthranilate 1","C7H7NO2","C00108","Anthranilate","Anthranilate"
"15","Arginine","Arginine","Same","Arginine","C6H14N4O2","C00062","L-Arginine","Arginine"
"16","aspartate","aspartate","Same","aspartate","C4H7NO4","C00049","L-Aspartate","Aspartate"
"17","Carbamoyl-L-aspartate","Carbamoyl-L-aspartate","Same","Carbamoyl-L-aspartate","C5H8N2O5","C00438","N-Carbamoyl-L-aspartate","Carbamoyl-aspartate"
"18","Citrulline","Citrulline","Same","Citrulline","C6H13N3O3","C00327","L-Citrulline","Citrulline"
"19","Cysteine","Cysteine","Same","Cysteine","C3H7NO2S","C00097","L-Cysteine","Cysteine"
"20","d-ala-d-ala 2","d-ala-d-ala 2","Same","d-ala-d-ala 2_?","C6H12N2O3","C00993*","D-Alanyl-D-alanine (repeated)","d-Ala-d-Ala (1)"
"21","deoxyguanosine 1","deoxyguanosine 1","Same","deoxyguanosine 1_?","C10H13N5O4","C00330*","Deoxyguanosine (repeated)","Dexyguanosine (1)"
"22","erythro-4-Hydroxyglutamate","erythro-4-Hydroxyglutamate","Same","erythro-4-Hydroxyglutamate","C5H9NO5","C05947","L-erythro-4-Hydroxyglutamate","Erythro-hydroxyglutamate"
"23","Formyl-methionine","Formyl-methionine","Same","Formyl-methionine","C6H11NO3S","C03145","N-Formylmethionine","Formylmethionine"
"24","gly","gly","Same","gly","C2H5NO2","C00037","Glycine","Glycine"
"25","Histidine","Histidine","Same","Histidine","C6H9N3O2","C00135","L-Histidine","Histidine"
"26","hypoxanthine","hypoxanthine","Same","hypoxanthine","C5H4N4O","C00262","Hypoxanthine","Hypoxanthine"
"27","Leucine","Leucine","Same","Leucine","C6H13NO2","C00123","L-Leucine","Leucine"
"28","lysine","lysine","Same","lysine","C6H14N2O2","C00047","L-Lysine","Lysine"
"29","Norepinephrine","Norepinephrine","Same","Norepinephrine","C8H11NO3","C00547","L-Noradrenaline","Noradrenaline"
"30","Ornithine","Ornithine","Same","Ornithine","C5H12N2O2","C00077","L-Ornithine","Ornithine"
"31","Phenylalanine","Phenylalanine","Same","Phenylalanine","C9H11NO2","C00079","L-Phenylalanine","Phenylalanine"
"32","proline","proline","Same","proline","C5H9NO2","C00148","L-Proline","Proline"
"33","Pyrrole-2-carboxylate","Pyrrole-2-carboxylate","Same","Pyrrole-2-carboxylate","C5H5NO2","C05942","Pyrrole-2-carboxylate","Pyrrole carboxylate"
"34","Pyrroline-3-hydroxy-5-carboxylate 2","Pyrroline-3-hydroxy-5-carboxylate 2","Same","Pyrroline-3-hydroxy-5-carboxylate 2_?","C5H7NO3","C04281*","L-1-Pyrroline-3-hydroxy-5-carboxylate (repeated)","Pyrroline hydroxycarboxylate (1)"
"35","S-Adenosylmethionine","S-Adenosylmethionine","Same","S-Adenosylmethionine","C15H22N6O5S","C00019","S-Adenosyl-L-methionine","S-adenosylmethionine"
"36","Succinyl-LL-2,6-diaminopimelate 1","Succinyl-LL-2,6-diaminopimelate 1","Same","Succinyl-LL-2,6-diaminopimelate 1","C11H18N2O7","C04421","N-Succinyl-LL-2,6-diaminoheptanedioate","Succinyl-diaminoheptanedioate"
"37","Threonine 1","Threonine 1","Same","Threonine 1","C4H9NO3","C00188","L-Threonine","Threonine"
"38","tryptophane","tryptophane","Same","tryptophane","C11H12N2O2","C00078","L-Tryptophan","Tryptophan"
"39","Tyrosine","Tyrosine","Same","Tyrosine","C9H11NO3","C00082","L-Tyrosine","Tyrosine"
"40","valine","valine","Same","valine","C5H11NO2","C00183","L-Valine","Valine"
"41","2-Deoxy-D-ribose 1-phosphate","2-Deoxy-D-ribose 1-phosphate","Same","2-Deoxy-D-ribose 1-phosphate","C5H11O7P","C00672","2-Deoxy-D-ribose 1-phosphate","Deoxyribose phosphate"
"42","2.3-Dihydrozy-2-methylpentanoate 2","2.3-Dihydrozy-2-methylpentanoate 2","Same","2.3-Dihydrozy-2-methylpentanoate 2","C6H12O4","C06007","(R)-2,3-Dihydroxy-3-methylpentanoate","Dihydroxy-methylpentanoate"
"43","Cis-aconitate","Cis-aconitate","Same","Cis-aconitate","C6H6O6","C00417","cis-Aconitate","Aconitate"
"44","Citrate","Citrate","Same","Citrate","C6H8O7","C00158","Citrate","Citrate"
"45","Erithro-3-Methylmalate 2","Erithro-3-Methylmalate 2","Same","Erithro-3-Methylmalate 2","C5H8O5","C06032","D-erythro-3-Methylmalate","Erythro-methylmalate"
"46","glutamate","glutamate","Same","glutamate","C5H9NO4","C00025","L-Glutamate","Glutamate"
"47","glutamine","glutamine","Same","glutamine","C5H10N2O3","C00064","L-Glutamine","Glutamine"
"48","Glycerate","Glycerate","Same","Glycerate","C3H6O4","C00258","D-Glycerate","Glycerate"
"49","Hexose phosphates","Hexose phosphates","Same","Hexose phosphates","C6H13O9P",NA,"Hexose phosphate","Hexose phosphate"
"50","Homo-cisaconitate 2","Homo-cisaconitate 2","Same","Homo-cisaconitate 2_?","C7H8O6","C04002*","(Z)-But-1-ene-1,2,4-tricarboxylate (repeated)","Homoaconitate"
"51","Isopropylmalate","Isopropylmalate","Same","Isopropylmalate","C7H12O5","C02504","alpha-Isopropylmalate","Isopropylmalate"
"52","Isopropylmaleate","Isopropylmaleate","Same","Isopropylmaleate","C7H10O4","C02631","2-Isopropylmaleate","Isopropylmaleate"
"53","ketoglutarate","ketoglutarate","Same","ketoglutarate","C5H6O5","C00026","2-Oxoglutarate","Oxoglutarate"
"54","lactate","lactate","Same","lactate","C3H6O3","C00186","(S)-Lactate","Lactate"
"55","malate","malate","Same","malate","C4H6O5","C00149","(S)-Malate","Malate"
"56","methylmaleate 1","methylmaleate 1","Same","methylmaleate 1","C5H6O4","C02226","2-Methylmaleate","Methylmaleate"
"57","Pyruvate","Pyruvate","Same","Pyruvate","C3H4O3","C00022","Pyruvate","Pyruvate"
"58","succinate","succinate","Same","succinate","C4H6O4","C00042","Succinate","Succinate"
"59","succinate semialdehyde 1","succinate semialdehyde 1","Same","succinate semialdehyde 1","C4H6O3","C00232","Succinate semialdehyde","Succinate semialdehyde"
"60","UDP-N-acetylmuramate","UDP-N-acetylmuramate","Same","UDP-N-acetylmuramate","C20H31N3O19P2","C01050","UDP-N-acetylmuramate",NA
"61","Acetyl-2,6-diaminopimelate","Acetyl-2, 6-diaminopimelate","Misspelled","Acetyl-2, 6-diaminopimelate","C9H16N2O5","C04390","N6-Acetyl-LL-2,6-diaminoheptanedioate","Acetyl-diaminoheptanedioate"
"62","b-alanine 2","alanine 1","Renamed","alanine 1","C3H7NO2","C00041","L-Alanine","Alanine"
"63",NA,"Aminobutyraldehyde","Added","Aminobutyraldehyde","C4H9NO","C00555","4-Aminobutyraldehyde","Aminobutyraldehyde"
"64",NA,"Aspartate 4-semialdehyde","Added","Aspartate 4-semialdehyde","C4H7NO3","C00441","L-Aspartate 4-semialdehyde","Aspartate semialdehyde"
"65",NA,"2-Dehydro-3-deoxy-L-rhamnonate 3","Added","2-Dehydro-3-deoxy-L-rhamnonate 3","C6H10O5","C03979","2-Dehydro-3-deoxy-L-rhamnonate","Dehydro-deoxyrhamnonate"
"66","succinate semialdehyde 1","2-Oxobutanoate 2","Redundant",NA,NA,NA,"Succinate semialdehyde (redundant)",NA
"67","Dihydroxy-isovalerate 1","Deoxyribose 2","Renamed","Deoxyribose 2","C5H10O4","C01801","Deoxyribose","Deoxyribose"
"68","Galactono-1'4-lactone","Galactono-1,4-lactone","Misspelled","Galactono-1,4-lactone","C6H10O6","C03383","D-Galactono-1,4-lactone","Galactono-lactone"
"69",NA,"glyceraldehyde3p","Added","glyceraldehyde3p","C3H7O6P","C00118","D-Glyceraldehyde 3-phosphate","Glyceraldehyde phosphate"
"70",NA,"hexose diphosphate","Added","hexose diphosphate","C6H14O12P2",NA,"Hexose diphosphate","Hexose phosphate"
"71","Homocitrate 2","Methylcitrate 1","Renamed","Methylcitrate 1","C7H10O7","C02225","2-Methylcitrate","Methylcitrate"
"72",NA,"pentose 5-phosphate","Added","pentose 5-phosphate","C5H11O8P","C00117","D-Ribose 5-phosphate","Ribose phosphate"
"73",NA,"Sedoheptulose 7-phosphate 1","Added","Sedoheptulose 7-phosphate 1","C7H15O10P","C05382","Sedoheptulose 7-phosphate","Sedoheptulose phosphate"
"74","-Acetyl-L-glutamate 5-semialdehyde",NA,"Removed","N-Acetyl-L-glutamate 5-semialdehyde","C7H11NO4","C01250","N-Acetyl-L-glutamate 5-semialdehyde","Acetylglutamate semialdehyde"
"75","1-Pyrroline-4-hydroxy-2-carboxylate 3",NA,"Removed","1-Pyrroline-4-hydroxy-2-carboxylate 3_?","C5H7NO3","C04282","1-Pyrroline-4-hydroxy-2-carboxylate","Pyrroline hydroxycarboxylate (2)"
"76","2-Acetyl-aminoadipate",NA,"Removed","2-Acetyl-aminoadipate_?","C8H13NO5","C12986","N2-Acetyl-L-aminoadipate",NA
"77","2-Aminoadipate 1",NA,"Removed","2-Aminoadipate 1_?","C6H11NO4","C00956","L-2-Aminoadipate","Aminoadipate"
"78","2,6-Diaminopelate 2","2,6-Diaminoheptanedioate 1","Renamed, and duplicated removed","2,6-Diaminoheptanedioate 1","C7H14N2O4","C00680","meso-2,6-Diaminoheptanedioate","Diaminoheptanedioate"
"79","2'5-Dioxopentanoate 2","methylmaleate 1","Redundant",NA,NA,NA,"2-Methylmaleate (redundant)",NA
"80","3-Methyl-2-oxopentanoate 1",NA,"Removed","3-Methyl-2-oxopentanoate 1_?","C6H10O3","C00671","(S)-3-Methyl-2-oxopentanoic acid","Methyl-oxopentanoic acid"
"81","4-Acetylaminobutanal",NA,"Removed","4-Acetylaminobutanal_?","C6H11NO2","C05936","N4-Acetylaminobutanal","Acetylaminobutanal"
"82","4-Amino-4-cyanobutanoic acid",NA,"Removed","4-Amino-4-cyanobutanoic acid_?","C5H8N2O2","C05715","gamma-Amino-gamma-cyanobutanoate",NA
"83","4-Aminobutanoate 3","3-Amino-isobutanoate 1","Renamed, and duplicated removed","3-Amino-isobutanoate 1","C4H9NO2","C03284","L-3-Aminoisobutanoate","Aminoisobutanoate"
"84","5-Oxo-proline 1","Pyrroline-3-hydroxy-5-carboxylate 2","Renamed, and duplicated removed","Pyrroline-3-hydroxy-5-carboxylate 2","C5H7NO3","C04281","L-1-Pyrroline-3-hydroxy-5-carboxylate","Pyrroline hydroxycarboxylate"
"85","Acetolactate",NA,"Removed","Acetolactate_?","C5H8O4","C06010","(S)-2-Acetolactate","Acetolactate"
"86","Acetylhomoserine","Acetylhomoserine 2","Redundant",NA,NA,NA,"O-Acetyl-L-homoserine (redundant)",NA
"87","Adenosine 2","deoxyguanosine 1","Renamed, and duplicated removed","deoxyguanosine 1","C10H13N5O4","C00330","Deoxyguanosine","Dexyguanosine"
"88","cis-2-Methylaconitate 1","Homo-cisaconitate 2","Renamed, and duplicated removed","Homo-cisaconitate 2","C7H8O6","C04002","(Z)-But-1-ene-1,2,4-tricarboxylate","Homoaconitate (1)"
"89","Dimethylmalate 1",NA,"Removed","Dimethylmalate 1_?","C6H10O5","C03652","(2R,3S)-2,3-Dimethylmalate",NA
"90","Ethyl malate 2",NA,"Removed","Ethyl malate 2_?","C6H10O5","C02488","(R)-2-Ethylmalate","Ethylmalate"
"91","fumarate",NA,"Removed","Fumarate","C4H4O4","C00122","Fumarate","Fumarate"
"92","Glucose",NA,"Removed","Glucose_?","C6H12O6","C00031","D-Glucose","Glucose"
"93","Glutamylcysteine",NA,"Removed","Glutamylcysteine_?","C8H14N2O5S","C00669","gamma-L-Glutamyl-L-cysteine","Glutamylcysteine"
"94","Guanosine",NA,"Removed","Guanosine","C10H13N5O5","C00387","Guanosine","Guanosine"
"95","homoserine 2",NA,"Removed","homoserine 2_?","C4H9NO3","C00263","L-Homoserine","Homoserine"
"96","Homovanillate",NA,"Removed","Homovanillate_?","C9H10O4","C05582","Homovanillate",NA
"97","Hydroxyectoine",NA,"Removed","Hydroxyectoine_?","C6H10N2O3","C16432","5-Hydroxyectoine","Hydroxyectoine"
"98","Methylglyoxal",NA,"Removed","Methylglyoxal_?","C3H4O2","C00546","Methylglyoxal","Methylglyoxal"
"99","N-acetyl-2,4-diaminobutanoate 1","d-ala-d-ala 2","Renamed, and duplicated removed","d-ala-d-ala 2","C6H12N2O3","C00993","D-Alanyl-D-alanine","d-Ala-d-Ala"
"100","PABA 2",NA,"Removed","PABA 2_?","C7H7NO2","C00568","4-Aminobenzoate","Aminobenzoate"
"101","phophoenolpyruvate",NA,"Removed","Phosphoenolpyruvate","C3H5O6P","C00074","Phosphoenolpyruvate",NA
"102","serine",NA,"Removed","serine_?","C3H7NO3","C00065","L-Serine","Serine"
"103","Tartronate semialdehyde",NA,"Removed","Tartronate semialdehyde_?","C3H4O4","C01146","2-Hydroxy-3-oxopropanoate","Hydroxy-oxopropanoate"
"104","Tyramine",NA,"Removed","Tyramine_?","C8H11NO","C00483","Tyramine","Tyramine"
